,names,prices,ratings,descriptions
92,"Apple iPhone 15 (Black, 128 GB)","₹64,999",4.5,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
93,"Apple iPhone 16 (Ultramarine, 256 GB)","₹84,900",4.5,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
94,"vivo X90 (Asteroid Black, 256 GB)","₹48,778",4.6,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 12MP + 12MP | 32MP Front Camera4810 mAh BatteryDimensity 9200 Processor1 Year Handset and 6 Months Accessories
95,"Apple iPhone 14 (Starlight, 128 GB)","₹54,999",4.4,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
96,"Apple iPhone 16 (Ultramarine, 256 GB)","₹84,900",4.5,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
97,"vivo X90 (Asteroid Black, 256 GB)","₹48,778",4.3,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 12MP + 12MP | 32MP Front Camera4810 mAh BatteryDimensity 9200 Processor1 Year Handset and 6 Months Accessories
98,"Apple iPhone 14 (Starlight, 128 GB)","₹54,999",4.3,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
99,"Apple iPhone 16 (Teal, 256 GB)","₹84,900",4.3,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
100,"Apple iPhone 15 (Pink, 128 GB)","₹64,999",4.4,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
101,"Apple iPhone 14 (Starlight, 256 GB)","₹64,999",4.5,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
102,"SAMSUNG Galaxy A36 5G (Awesome Lavender, 256 GB)","₹35,999",5,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 12MP Front Camera5000 mAh BatteryQualcomm Snapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
103,"Google Pixel 8a (Obsidian, 256 GB)","₹44,999",5,8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty
104,"Apple iPhone 14 (Blue, 128 GB)","₹54,999",4.3,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
105,"Xiaomi 14 CIVI (Shadow Black, 512 GB)","₹43,999",5,12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
106,"Google Pixel 8a (Aloe, 128 GB)","₹37,999",4,8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty
107,"Xiaomi 14 CIVI (Cruise Blue, 256 GB)","₹39,999",4.5,8 GB RAM | 256 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
108,"OPPO Find X8 5G (Space Black, 512 GB)","₹79,999",5,16 GB RAM | 512 GB ROM16.74 cm (6.59 inch) Full HD+ AMOLED Display50MP + 50MP + 50MP | 32MP Front Camera5630 mAh BatteryDimensity 9400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
109,"OPPO Reno 12 5G (Astro Silver, 256 GB)","₹32,999",4,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
110,"OnePlus 13 (Midnight Ocean, 256 GB)","₹66,499",4.1,"12 GB RAM | 256 GB ROM17.32 cm (6.82 inch) Quad HD+ Display50MP + 50MP + 50MP | 32MP Front Camera6000 mAh BatterySnapdragon® 8 Elite Processor1 Year Warranty
1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase"
111,"Apple iPhone 16 (Pink, 128 GB)","₹74,900",5,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
112,"Apple iPhone 16 Plus (Black, 256 GB)","₹94,900",3,"256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
113,"Google Pixel 7 (Obsidian, 128 GB)","₹33,999",4.5,8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty
114,"Xiaomi 14 CIVI (Shadow Black, 256 GB)","₹39,999",5,8 GB RAM | 256 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
115,"vivo V40 5G (Lotus Purple, 512 GB)","₹42,999",5,12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
116,"SAMSUNG Galaxy S25 5G (Mint, 256 GB)","₹80,999",4.3,12 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
117,"SAMSUNG Galaxy A55 5G (Awesome Navy, 256 GB)","₹36,999",4.6,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatterySamsung Exynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
118,"SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 256 GB)","₹1,29,999",4.3,12 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Quad HD+ Display200MP + 50MP + 50MP + 10MP | 12MP Front Camera5000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
119,"Honor 200 5G (Black, 256 GB)","₹29,999",4.3,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Super AMOLED Display50MP + 50MP + 12MP | 50MP Front Camera5200 mAh BatterySnapdragon 7 Gen 3 Processor1 year manufacturer's warranty for handset & 6 months for accessories
120,"SAMSUNG Galaxy S20+ (Cosmic Gray, 128 GB)","₹83,000",4.6,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Quad HD+ Display64 MP + 12 MP +12 MP + VGA Depth Camera | 10MP Front Camera4500 mAh Lithium-ion BatteryExynos 990 ProcessorSuper AMOLED Display1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
121,"SAMSUNG Galaxy S24 5G (Onyx Black, 512 GB)","₹82,999",4.4,8 GB RAM | 512 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4000 mAh BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
122,"SAMSUNG Galaxy S24 5G (Amber Yellow, 512 GB)","₹82,999",4.4,8 GB RAM | 512 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4000 mAh BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
123,"SAMSUNG Galaxy S25 5G (Navy, 256 GB)","₹80,999",4.6,12 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
124,"SAMSUNG Galaxy S25 5G (Silver Shadow, 256 GB)","₹80,999",4.5,12 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
125,"SAMSUNG Galaxy S25 5G (Mint, 256 GB)","₹80,999",4.3,12 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
126,"SAMSUNG Galaxy S25 5G (Icyblue, 256 GB)","₹80,999",4.6,12 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
127,"Google Pixel 8 Pro (Obsidian, 128 GB)","₹79,999",4.6,12 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ AMOLED Display50MP + 48MP + 48MP | 10.5MP Front Camera5050 mAh BatteryTensor G3 Processor1 Year Domestic Warranty
128,"Google Pixel 8 Pro (Bay, 128 GB)","₹79,999",4.3,12 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ AMOLED Display50MP + 48MP + 48MP | 10.5MP Front Camera5050 mAh BatteryTensor G3 Processor1 Year Domestic Warranty
129,"OPPO Find X8 5G (Space Black, 512 GB)","₹79,999",4.4,16 GB RAM | 512 GB ROM16.74 cm (6.59 inch) Full HD+ AMOLED Display50MP + 50MP + 50MP | 32MP Front Camera5630 mAh BatteryDimensity 9400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
130,"vivo X80 Pro (Cosmic Black, 256 GB)","₹79,999",4.4,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Quad HD Display50MP + 48MP + 12MP + 8MP | 32MP Front Camera4700 mAh Lithium BatteryQualcomm Snapdragon 8 Gen 1 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories
131,"Apple iPhone 14 Plus (Blue, 256 GB)","₹79,900",4.5,"256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
132,"MOTOROLA Razr 50 Ultra (Midnight blue, 512 GB)","₹79,888",4.4,"12 GB RAM | 512 GB ROM17.53 cm (6.9 inch) Full HD+ Display50MP + 50MP + 12MP4000 mAh BatteryOcta-core ProcessorThe Motorola Razr 50 Ultra Spring Green comes with a 10-day replacement warranty. If you receive a damaged, defective, or incorrect product, you can request a replacement within 10 days of delivery.
 1year warranty"
133,"Apple iPhone 15 Plus (Pink, 256 GB)","₹78,999",4.3,"256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
134,"Apple iPhone 15 Plus (Blue, 256 GB)","₹78,999",4.6,"256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
135,"MOTOROLA Razr 50 Ultra (Spring Green, 512 GB)","₹78,499",4.6,"12 GB RAM | 512 GB ROM17.53 cm (6.9 inch) Full HD+ Display50MP + 50MP + 12MP4000 mAh BatteryOcta-core ProcessorThe Motorola Razr 50 Ultra Spring Green comes with a 10-day replacement warranty. If you receive a damaged, defective, or incorrect product, you can request a replacement within 10 days of delivery"
136,"MOTOROLA Razr 50 Ultra (Peach Fuzz, 512 GB)","₹77,999",4.6,"12 GB RAM | 512 GB ROM17.53 cm (6.9 inch) Full HD+ Display50MP + 50MP + 12MP4000 mAh BatteryOcta-core ProcessorThe Motorola Razr 50 Ultra Spring Green comes with a 10-day replacement warranty. If you receive a damaged, defective, or incorrect product, you can request a replacement within 10 days of delivery
1 year warranty"
137,"Apple iPhone 8 (Gold, 256 GB)","₹77,000",4.3,"256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year"
138,"Apple iPhone 8 (Silver, 256 GB)","₹77,000",4.6,"256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year"
139,"SAMSUNG Galaxy S24 5G (Amber Yellow, 128 GB)","₹75,000",4.3,8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4000 mAh BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
140,"Apple iPhone 15 (Pink, 256 GB)","₹74,999",5,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
141,"Google Pixel 9 (Peony, 256 GB)","₹74,999",4,12 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Display50MP + 48MP | 10.5MP Front Camera4700 mAh BatteryGoogle Tensor G4 Processor1 Year Domestic Warranty
142,"SAMSUNG Galaxy S24 5G (Onyx Black, 128 GB)","₹74,999",4.4,8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4000 mAh BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
143,"Apple iPhone 15 (Black, 256 GB)","₹74,999",5,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
144,"Google Pixel 9 (Peony, 256 GB)","₹74,999",5,12 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Display50MP + 48MP | 10.5MP Front Camera4700 mAh BatteryGoogle Tensor G4 Processor1 Year Domestic Warranty
145,"Apple iPhone 16 (Ultramarine, 128 GB)","₹74,900",4.3,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
146,"Apple iPhone 16 (Black, 128 GB)","₹74,900",4,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
147,"Apple iPhone 16 (Teal, 128 GB)","₹74,900",1,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
148,"Apple iPhone 16 (White, 128 GB)","₹74,900",4.6,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
149,"Apple iPhone 16 (Pink, 128 GB)","₹74,900",5,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
150,"SAMSUNG Galaxy S22 5G (Green, 128 GB)","₹72,999",5,8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 12MP + 10MP | 10MP Front Camera3700 mAh Lithium-ion BatterySnapdragon 8 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
151,"SAMSUNG Galaxy S22 5G (Phantom Black, 128 GB)","₹72,999",4.5,8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 12MP + 10MP | 10MP Front Camera3700 mAh Lithium-ion BatterySnapdragon 8 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
152,"OnePlus 13 (Arctic Dawn, 512 GB)","₹72,990",5,"16 GB RAM | 512 GB ROM17.32 cm (6.82 inch) Quad HD+ Display50MP + 50MP + 50MP | 32MP Front Camera6000 mAh BatterySnapdragon® 8 Elite Processor1 Year Warranty
1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase"
153,"OnePlus 13 (Midnight Ocean, 512 GB)","₹72,990",4,"16 GB RAM | 512 GB ROM17.32 cm (6.82 inch) Quad HD+ Display50MP + 50MP + 50MP | 32MP Front Camera6000 mAh BatterySnapdragon® 8 Elite Processor1 Year Warranty
1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase"
154,"vivo X200 5G (Natural Green, 512 GB)","₹71,999",4.6,16 GB RAM | 512 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 50MP + 50MP | 32MP Front Camera5800 mAh BatteryDimensity 9400 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
155,"vivo X200 5G (Cosmos Black, 512 GB)","₹71,999",4.3,16 GB RAM | 512 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 50MP + 50MP | 32MP Front Camera5800 mAh BatteryDimensity 9400 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
156,"SAMSUNG Galaxy S24 5G (Cobalt Violet, 256 GB)","₹70,999",4.6,8 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4000 mAh BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
157,"SAMSUNG Galaxy S24 5G (Amber Yellow, 256 GB)","₹70,999",4.6,8 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4000 mAh BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
158,"LG G8X (Black, 128 GB)","₹70,000",4.6,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.26 cm (6.4 inch) Full HD+ Display12MP + 13MP | 32MP Front Camera4000 mAh BatteryQualcomm Snapdragon™ 855 Octa-core (up to 2.84 GHz x 1 + 2.42 GHz x 3 + 1.79 GHz x 4) ProcessorCharging adapter is not included in the box1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
159,"SAMSUNG Galaxy Z Flip3 5G (Phantom Black, 128 GB)","₹69,999",4.6,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display12MP + 12MP | 10MP Front Camera3300 mAh Lithium-ion BatteryQualcomm Snapdragon 888 Octa-Core Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-Box Accessories
160,"OPPO Find X8 5G (Star Grey, 256 GB)","₹69,999",4.3,12 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Full HD+ AMOLED Display50MP + 50MP + 50MP | 32MP Front Camera5630 mAh BatteryDimensity 9400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
161,"SAMSUNG Galaxy Z Flip3 5G (Cream, 128 GB)","₹69,999",4.3,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display12MP + 12MP | 10MP Front Camera3300 mAh Lithium-ion BatteryQualcomm Snapdragon 888 Octa-Core Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-Box Accessories
162,"MOTOROLA Razar 50 Flip (Beach Sand, 256 GB)","₹69,990",4.6,8 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Display50MP Rear Camera4200 mAh Battery1 Year
163,"MOTOROLA Razar 50 Flip (Spritz Orange, 256 GB)","₹69,990",4.3,8 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Display50MP Rear Camera4200 mAh Battery1 Year
164,"MOTOROLA Razar 50 Flip (Koala Grey, 256 GB)","₹69,990",4.3,8 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Display50MP Rear Camera4200 mAh Battery1 Year
165,"Apple iPhone 14 Plus (Blue, 128 GB)","₹69,900",4.3,"128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
166,"Apple iPhone 14 Plus (Starlight, 128 GB)","₹69,900",4.6,"128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
167,"Apple iPhone 16e (White, 256 GB)","₹69,900",4.4,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP Rear Camera | 12MP Front CameraA18 Chip, 6 Core Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
168,"MOTOROLA Razar 50 Flip (Koala Grey, 256 GB)","₹69,990",4.4,8 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Display50MP Rear Camera4200 mAh Battery1 Year
169,"MOTOROLA Razar 50 Flip (Beach Sand, 256 GB)","₹69,990",4.6,8 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Display50MP Rear Camera4200 mAh Battery1 Year
170,"MOTOROLA Razar 50 Flip (Spritz Orange, 256 GB)","₹69,990",4.6,8 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Display50MP Rear Camera4200 mAh Battery1 Year
171,"Apple iPhone 16e (White, 256 GB)","₹69,900",4.3,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP Rear Camera | 12MP Front CameraA18 Chip, 6 Core Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
172,"Apple iPhone 16e (Black, 256 GB)","₹69,900",4.3,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP Rear Camera | 12MP Front CameraA18 Chip, 6 Core Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
173,"Apple iPhone 14 Plus (Midnight, 128 GB)","₹69,900",4.6,"128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
174,"Apple iPhone 14 Plus (Blue, 128 GB)","₹69,900",4.7,"128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
175,"Apple iPhone 15 Plus (Pink, 128 GB)","₹68,499",4.4,"128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
176,"Apple iPhone 15 Plus (Black, 128 GB)","₹68,499",4.6,"128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
177,"Apple iPhone 15 Plus (Blue, 128 GB)","₹68,499",4.4,"128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
178,"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Lavender, 256 GB)","₹67,999",4.3,8 GB RAM | 256 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion BatterySnapdragon 888 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
179,"SAMSUNG Galaxy Z Flip5 (Cream, 256 GB)","₹66,999",5,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display12MP + 12MP | 10MP Front Camera3700 mAh BatterySnapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
180,"OPPO Find X8 5G (Space Black, 256 GB)","₹66,999",4,12 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Full HD+ AMOLED Display50MP + 50MP + 50MP | 32MP Front Camera5630 mAh BatteryDimensity 9400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
181,"SAMSUNG Galaxy Z Flip5 (Mint, 512 GB)","₹66,999",4.6,8 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display12MP + 12MP | 10MP Front Camera3700 mAh BatterySnapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
182,"OnePlus 13 (Midnight Ocean, 256 GB)","₹66,499",4,"12 GB RAM | 256 GB ROM17.32 cm (6.82 inch) Quad HD+ Display50MP + 50MP + 50MP | 32MP Front Camera6000 mAh BatterySnapdragon® 8 Elite Processor1 Year Warranty
1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase"
183,"vivo X200 5G (Cosmos Black, 256 GB)","₹65,999",3,12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 50MP + 50MP | 32MP Front Camera5800 mAh BatteryDimensity 9400 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
184,"vivo X200 5G (Natural Green, 256 GB)","₹65,999",4.6,12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 50MP + 50MP | 32MP Front Camera5800 mAh BatteryDimensity 9400 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
185,"OnePlus 12 (Silky Black, 512 GB)","₹65,999",5,16 GB RAM | 512 GB ROM17.32 cm (6.82 inch) Display64MP Rear Camera5400 mAh Battery1 Year Brand Warranty
