,names,prices,ratings,descriptions
22,"Google Pixel 7a (Charcoal, 128 GB)","₹31,999",4.1,8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP (OIS) + 13MP | 13MP Front Camera4300 mAh BatteryTensor G2 Processor1 Year Domestic Warranty
23,"POCO F6 5G (Titanium, 512 GB)","₹33,999",4.3,12 GB RAM | 512 GB ROM16.94 cm (6.67 inch) Display50MP (OIS) + 8MP | 20MP Front Camera5000 mAh Battery8s Gen3 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
24,"realme GT 6 (Razor Green, 512 GB)","₹39,999",4.5,16 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 8MP + 50MP | 32MP Front Camera5500 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
25,"SAMSUNG Galaxy S24 FE 5G (Graphite, 128 GB)","₹44,999",4,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
26,"Motorola Edge 50 Ultra 5G (Nordic Wood, 512 GB)","₹49,999",3,12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 64MP | 50MP Front Camera4500 mAh Battery8s Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories
27,"OnePlus Nord 4 5G (Mercurial Silver, 256 GB)","₹30,642",4.3,12 GB RAM | 256 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5500 mAh Battery1 Year
28,"OnePlus 12R (Cool Blue, 256 GB)","₹36,990",5,"8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Warranty
1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase"
29,"realme 14 Pro+ 5G (Suede Grey, 256 GB)","₹34,999",5,12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP + 50MP + 8MP | 32MP Front Camera6000 mAh Battery7s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
30,"realme GT 6 (Fluid Silver, 512 GB)","₹37,999",4.6,16 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 8MP + 50MP | 32MP Front Camera5500 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
31,"Cubot KingKong X 5G (Black, 256 GB)","₹58,788",5,16 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.72 cm (6.583 inch) Full HD+ Display100MP + 32MP + 5MP | 32MP + 32MP Dual Front Camera10200 mAh BatteryMediaTek Dimensity 7050 Processor1 Year Manufacturer
32,"vivo X200 Pro 5G (Titanium Grey, 512 GB)","₹94,999",5,16 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Display50MP + 50MP + 200MP | 32MP Front Camera6000 mAh BatteryDimensity 9400 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
33,"OnePlus Nord 4 5G (Obsidian Midnight, 256 GB)","₹30,789",4.4,12 GB RAM | 256 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5500 mAh Battery1 Year
34,"Google Pixel 8a (Obsidian, 128 GB)","₹37,999",5,8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty
35,"OnePlus 12R (Iron Gray, 256 GB)","₹37,978",4,"8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Warranty
1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase"
36,"OnePlus 13R 5G (Astral Trail, 512 GB)","₹47,305",4.1,16 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase
37,"SAMSUNG Galaxy S24 FE 5G (Graphite, 256 GB)","₹50,999",5,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
38,"OnePlus 13R 5g (Astral Trail, 256 GB)","₹42,100",3,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase
39,"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 256 GB)","₹56,999",4.5,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Quad HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4900 mAh BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
40,"realme 14 Pro+ 5G (Pearl White, 256 GB)","₹34,999",4.5,12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP + 50MP + 8MP | 32MP Front Camera6000 mAh Battery7s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
41,"Apple iPhone 16 (Black, 128 GB)","₹74,900",4.4,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
42,"OnePlus 12R (Cool Blue, 256 GB)","₹38,499",4.5,16 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Brand Warranty
43,"vivo V50 5G (Starry Night, 512 GB)","₹40,999",4.5,12 GB RAM | 512 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories
44,"vivo V40 Pro 5G (Titanium Grey, 512 GB)","₹55,999",4.4,12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
45,"REDMI Note 14 Pro+ 5G (Spectre Blue, 256 GB)","₹32,999",4.5,8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display50MP + 50MP + 8MP | 20MP Front Camera6200 mAh Battery7s Gen 3 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
46,"realme 14 Pro+ 5G (Pearl White, 512 GB)","₹37,999",4.8,12 GB RAM | 512 GB ROM17.35 cm (6.83 inch) Display50MP + 50MP + 8MP | 32MP Front Camera6000 mAh Battery7s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
47,"vivo X200 5G (Cosmos Black, 256 GB)","₹65,999",4.5,12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 50MP + 50MP | 32MP Front Camera5800 mAh BatteryDimensity 9400 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
48,"SAMSUNG Galaxy S24 FE 5G (Mint, 128 GB)","₹44,999",4.3,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
49,"OnePlus 13R 5G (Nebula Noir, 256 GB)","₹42,139",4.5,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase
50,"Motorola Edge 50 Ultra 5G (Peach Fuzz, 512 GB)","₹49,999",4.5,12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 64MP | 50MP Front Camera4500 mAh Battery8s Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories
51,"OnePlus 12R (Iron Grey, 256 GB)","₹41,999",4.5,16 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Brand Warranty
52,"OnePlus 13R 5G (Nebula Noir, 512 GB)","₹47,758",4.5,16 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase
53,"OPPO Reno 12 Pro 5G (Sunset Gold, 512 GB)","₹40,999",4.5,12 GB RAM | 512 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
54,"Apple iPhone 13 (Midnight, 128 GB)","₹44,999",4.4,128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.
55,"realme 14 Pro+ 5G (Suede Grey, 256 GB)","₹31,999",4.6,8 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP + 50MP + 8MP | 32MP Front Camera6000 mAh Battery7s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
56,"SAMSUNG Galaxy Z Flip5 (Cream, 512 GB)","₹63,999",4.5,8 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display12MP + 12MP | 10MP Front Camera3700 mAh BatterySnapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
57,"vivo V30 Pro 5G (Andaman Blue, 256 GB)","₹34,999",4.5,8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 8200 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
58,"SAMSUNG Galaxy S24+ 5G (Onyx Black, 256 GB)","₹56,999",4.5,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Quad HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4900 mAh BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
59,"Google Pixel 7a (Sea, 128 GB)","₹31,999",4.3,8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP (OIS) + 13MP | 13MP Front Camera4300 mAh BatteryTensor G2 Processor1 Year Handset and 6 Months Accessories
